Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,21.680973,21.752504,21.258942,21.502146,19.708483,452533
2015-01-05,21.344778,21.423462,20.965666,21.015738,19.262651,482170
2015-01-06,20.994278,21.015738,20.536482,20.815451,19.079067,428767
2015-01-07,20.886980,20.951359,20.629471,20.701000,18.974167,427229
2015-01-08,20.815451,21.065807,20.708155,20.958511,19.210196,348102
2015-01-09,21.030043,21.030043,20.572247,20.608011,18.888939,522712
2015-01-12,20.600859,20.679543,20.300428,20.350500,18.652910,528304
2015-01-13,20.500715,20.650930,20.014305,20.143063,18.462770,772814
2015-01-14,19.928469,20.078684,19.649500,19.892704,18.233295,479514
2015-01-15,19.957083,19.957083,19.349070,19.356222,17.741564,1109033
2015-01-16,19.270386,19.499285,19.012877,19.420601,17.800573,1082332
2015-01-20,19.370529,19.542204,19.198856,19.406296,17.787460,1063738
2015-01-21,19.413448,19.628040,19.206009,19.320457,17.708786,1193053
2015-01-22,19.678112,20.078684,19.613733,19.821173,18.167730,1492085
2015-01-23,19.814020,19.957083,19.642345,19.828325,18.174290,769879
2015-01-26,19.792561,19.992847,19.649500,19.942776,18.279192,604076
2015-01-27,19.670959,19.685265,19.270386,19.456366,17.833363,897236
2015-01-28,19.656652,19.656652,19.284693,19.327612,17.715342,799936
2015-01-29,19.291845,19.635193,19.170242,19.549356,17.918592,1861856
2015-01-30,19.442060,19.620888,19.277538,19.477825,17.853027,1425401
2015-02-02,19.570814,20.092991,19.556509,20.050072,18.377535,758555
2015-02-03,20.178827,20.550787,20.092991,20.479256,18.770922,816991
2015-02-04,20.386267,20.407724,19.871244,19.928469,18.266079,716335
2015-02-05,19.928469,20.214592,19.878399,20.171675,18.488995,522153
2015-02-06,20.264664,20.636623,20.193132,20.243204,18.554562,673696
2015-02-09,20.228897,20.565092,20.228897,20.536482,18.823370,705850
2015-02-10,20.615166,20.693848,20.429186,20.672388,18.947943,666287
2015-02-11,20.629471,20.672388,20.386267,20.500715,18.790590,446242
2015-02-12,20.622318,20.908442,20.608011,20.793991,19.059402,378718
