Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,138.470001,139.050003,137.160004,138.449997,117.416626,1111700
2015-01-05,137.960007,138.630005,135.380005,135.559998,114.965675,1437100
2015-01-06,135.779999,136.610001,134.179993,135.720001,115.101357,2766800
2015-01-07,135.789993,136.669998,134.970001,135.199997,114.660370,2067200
2015-01-08,136.130005,138.570007,135.970001,138.460007,117.425140,3858400
2015-01-09,138.369995,139.509995,137.380005,138.970001,117.857613,3032700
2015-01-12,139.589996,139.600006,137.529999,137.899994,116.950180,1386200
2015-01-13,139.509995,140.750000,136.690002,137.789993,116.856880,1722100
2015-01-14,135.830002,137.820007,135.399994,137.350006,117.010262,1258800
2015-01-15,138.160004,138.479996,136.740005,137.710007,117.316948,1481500
2015-01-16,137.490005,139.149994,136.809998,139.070007,118.475525,1681500
2015-01-20,139.089996,139.889999,136.610001,138.089996,117.640678,1761500
2015-01-21,138.309998,139.339996,137.809998,138.889999,118.322189,1197900
2015-01-22,139.419998,141.559998,138.460007,141.210007,120.298660,1311200
2015-01-23,141.160004,142.410004,140.330002,141.320007,120.392357,895600
2015-01-26,141.130005,141.130005,139.509995,140.059998,119.318916,1223300
2015-01-27,138.330002,138.750000,137.050003,137.199997,116.882454,1590100
2015-01-28,139.000000,141.919998,136.130005,136.399994,116.200897,2764700
2015-01-29,136.320007,136.839996,133.039993,134.479996,114.565231,3133200
2015-01-30,132.830002,135.110001,132.630005,133.210007,113.483345,3479800
2015-02-02,133.889999,136.490005,132.500000,136.119995,115.962402,2031000
2015-02-03,136.899994,139.100006,136.470001,138.949997,118.373291,1893100
2015-02-04,138.750000,139.869995,138.259995,138.529999,118.015503,1500500
2015-02-05,138.559998,139.199997,138.020004,138.690002,118.151833,1399500
2015-02-06,138.690002,140.350006,138.300003,139.289993,118.662956,1428400
2015-02-09,138.649994,139.259995,136.630005,136.940002,116.660973,1902100
2015-02-10,138.729996,138.729996,136.699997,138.160004,117.700302,1361300
2015-02-11,138.089996,138.240005,136.320007,137.210007,116.890984,1297400
2015-02-12,137.270004,138.550003,137.059998,138.149994,117.691772,860900
2015-02-13,137.699997,138.199997,136.970001,137.610001,117.231750,1361700
2015-02-17,137.309998,138.259995,136.259995,138.050003,117.606606,1242400
2015-02-18,137.740005,138.899994,137.639999,138.660004,118.126251,755200
2015-02-19,138.339996,139.919998,138.009995,139.509995,118.850357,741900
2015-02-20,139.320007,142.550003,139.039993,142.240005,121.176071,1341200
2015-02-23,141.740005,142.050003,140.770004,141.259995,120.341194,747400
2015-02-24,140.880005,142.059998,140.820007,141.679993,120.699066,764100
2015-02-25,141.679993,141.679993,139.979996,140.139999,119.387093,735300
2015-02-26,140.199997,140.639999,139.000000,139.429993,118.782196,1059500
2015-02-27,139.059998,139.539993,138.729996,138.779999,118.228516,1267800
2015-03-02,138.779999,140.619995,138.779999,139.800003,119.097397,1278200
2015-03-03,139.119995,139.169998,136.350006,137.089996,116.788742,1513400
