Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,7.340507,7.363566,7.156034,7.286703,7.110214,1276411
2015-01-05,7.248271,7.309762,7.156034,7.248271,7.072713,1231787
2015-01-06,7.271330,7.471176,7.217525,7.232898,7.057713,1558858
2015-01-07,7.309762,7.640277,7.294389,7.632590,7.447722,1898679
2015-01-08,7.671022,7.840123,7.663336,7.809377,7.620229,2110092
2015-01-09,7.786318,7.955419,7.701768,7.909301,7.717732,1303342
2015-01-12,7.916987,7.963105,7.763259,7.901614,7.710232,1328451
2015-01-13,7.932360,7.955419,7.632590,7.847809,7.657730,1192887
2015-01-14,7.732513,7.809377,7.655650,7.740200,7.552727,716591
2015-01-15,7.786318,7.840123,7.532667,7.609531,7.425223,1300089
2015-01-16,7.586472,7.763259,7.578786,7.701768,7.515225,874792
2015-01-20,8.455035,9.254420,8.455035,8.970023,8.752763,12266218
2015-01-21,8.954650,9.154497,8.847041,9.139124,8.917768,3430737
2015-01-22,9.223674,9.377402,9.108378,9.200615,8.977769,2882105
2015-01-23,9.308224,9.584935,9.169869,9.508071,9.277779,2482048
2015-01-26,9.538816,9.646426,9.385088,9.577248,9.345279,2144568
2015-01-27,9.508071,9.746349,9.446580,9.538816,9.307779,1510331
2015-01-28,9.577248,9.577248,9.239047,9.400461,9.172775,1702228
2015-01-29,9.454266,9.546503,9.331284,9.538816,9.307779,1180918
2015-01-30,9.454266,9.531130,9.354343,9.454266,9.225277,1683104
2015-02-02,9.461952,9.584935,9.346656,9.577248,9.345279,1792128
2015-02-03,9.607994,9.777095,9.446580,9.769408,9.532786,1536871
2015-02-04,9.730976,9.900077,9.707917,9.800154,9.562786,1610248
2015-02-05,9.838586,9.877018,9.723290,9.769408,9.532786,1430710
2015-02-06,9.746349,9.823213,9.454266,9.561875,9.330280,1247399
2015-02-09,9.538816,9.646426,9.415834,9.561875,9.330280,943355
2015-02-10,9.592621,9.792467,9.538816,9.700231,9.465284,1244537
2015-02-11,9.700231,9.723290,9.561875,9.607994,9.375281,590394
2015-02-12,9.615680,9.869331,9.569562,9.861645,9.622789,1047175
2015-02-13,9.838586,9.877018,9.623367,9.707917,9.472785,1006324
2015-02-17,9.684858,9.800154,9.654112,9.769408,9.532786,643865
2015-02-18,9.700231,9.830899,9.661799,9.746349,9.510287,725047
2015-02-19,9.692544,9.992314,9.684858,9.777095,9.540287,893137
2015-02-20,9.738663,9.838586,9.692544,9.823213,9.585288,770322
2015-02-23,9.792467,9.892390,9.738663,9.861645,9.622789,1069422
2015-02-24,9.869331,9.992314,9.738663,9.800154,9.562786,1009966
2015-02-25,9.784781,9.930822,9.638739,9.907763,9.667789,1050818
2015-02-26,9.923136,10.568793,9.907763,10.530361,10.275309,2487252
2015-02-27,10.530361,10.584166,10.345888,10.399693,10.147804,1219297
2015-03-02,10.476556,10.661030,10.407379,10.484243,10.230309,1657084
2015-03-03,10.507302,10.530361,9.900077,10.030746,9.787794,2669522
2015-03-04,10.999231,11.337433,10.768640,11.022291,10.755323,8414998
2015-03-05,11.106841,11.129900,10.791699,11.068409,10.800324,2347264
2015-03-06,10.976172,11.029977,10.830131,10.937740,10.672819,1490686
2015-03-09,10.937740,10.983859,10.661030,10.737894,10.477816,1296577
2015-03-10,10.622598,10.630284,10.245965,10.507302,10.252810,1356162
2015-03-11,10.507302,10.514988,10.345888,10.415065,10.162805,819110
2015-03-12,10.438125,10.807071,10.430438,10.722521,10.462813,854887
2015-03-13,10.707148,10.776326,10.338201,10.468870,10.215306,1152036
2015-03-16,10.538048,10.568793,10.384320,10.415065,10.162805,898731
2015-03-17,10.392006,10.392006,10.161414,10.338201,10.087801,846821
2015-03-18,10.299769,10.445811,10.238278,10.361261,10.110305,968074
2015-03-19,10.345888,10.445811,10.245965,10.322829,10.072803,654403
2015-03-20,10.338201,10.461184,10.299769,10.399693,10.147804,1743080
2015-03-23,10.415065,10.468870,10.192160,10.199846,9.952799,974319
2015-03-24,10.169101,10.307456,10.146042,10.215219,9.967798,755361
2015-03-25,10.215219,10.215219,9.984627,9.984627,9.742792,903935
2015-03-26,9.953882,10.138355,9.707917,9.992314,9.750294,1015951
2015-03-27,9.976941,10.292083,9.923136,10.107610,9.862797,750287
2015-03-30,10.076864,10.245965,9.900077,9.907763,9.667789,1145270
2015-03-31,9.869331,9.984627,9.707917,9.784781,9.547787,1362407
2015-04-01,9.784781,9.907763,9.500384,9.623367,9.390283,1528805
2015-04-02,9.607994,10.038432,9.607994,9.961568,9.720292,931776
2015-04-06,9.877018,10.138355,9.838586,9.938509,9.697791,705272
2015-04-07,9.923136,10.115296,9.877018,10.015373,9.772795,1426416
