Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,2.660000,2.880000,2.660000,2.880000,2.880000,16995
2015-01-05,2.900000,2.900000,2.720000,2.740000,2.740000,2615
2015-01-06,2.720000,2.880000,2.700000,2.800000,2.800000,17730
2015-01-07,2.800000,2.800000,2.700000,2.800000,2.800000,32340
2015-01-08,2.780000,2.820000,2.700000,2.700000,2.700000,30255
2015-01-09,2.800000,2.800000,2.720000,2.720000,2.720000,8000
2015-01-12,2.800000,2.800000,2.660000,2.660000,2.660000,2910
2015-01-13,2.760000,2.780000,2.660000,2.660000,2.660000,1050
2015-01-14,2.660000,2.780000,2.660000,2.660000,2.660000,13310
2015-01-15,2.660000,2.720000,2.660000,2.660000,2.660000,14150
2015-01-16,2.660000,2.700000,2.660000,2.660000,2.660000,15050
2015-01-20,2.660000,2.700000,2.660000,2.700000,2.700000,1150
2015-01-21,2.800000,2.900000,2.760000,2.900000,2.900000,22635
2015-01-22,2.820000,3.220000,2.680000,3.220000,3.220000,45795
2015-01-23,3.240000,3.600000,3.000000,3.380000,3.380000,43975
2015-01-26,3.400000,3.600000,3.200000,3.200000,3.200000,6635
2015-01-27,3.200000,3.580000,3.200000,3.440000,3.440000,22200
2015-01-28,3.600000,3.600000,3.320000,3.400000,3.400000,10300
2015-01-29,3.400000,3.580000,3.340000,3.420000,3.420000,11740
2015-01-30,3.500000,3.500000,3.320000,3.320000,3.320000,9900
2015-02-02,3.220000,3.400000,3.220000,3.220000,3.220000,3495
2015-02-03,3.220000,3.300000,3.200000,3.200000,3.200000,10330
2015-02-04,3.240000,3.240000,3.040000,3.180000,3.180000,12995
2015-02-05,3.120000,3.260000,3.120000,3.240000,3.240000,6535
2015-02-06,3.260000,3.260000,3.200000,3.240000,3.240000,16045
2015-02-09,3.200000,3.240000,3.040000,3.240000,3.240000,3750
2015-02-10,3.080000,3.240000,3.080000,3.120000,3.120000,6470
2015-02-11,3.200000,3.340000,3.200000,3.340000,3.340000,725
2015-02-12,3.300000,3.300000,3.100000,3.240000,3.240000,8295
2015-02-13,3.240000,3.240000,3.100000,3.200000,3.200000,4110
2015-02-17,3.200000,3.220000,3.180000,3.200000,3.200000,3920
2015-02-18,3.200000,3.200000,3.100000,3.200000,3.200000,2250
2015-02-19,3.200000,3.260000,3.100000,3.260000,3.260000,4290
2015-02-20,3.260000,3.400000,3.240000,3.400000,3.400000,8450
2015-02-23,3.500000,3.500000,3.320000,3.400000,3.400000,5005
2015-02-24,3.380000,3.400000,3.360000,3.400000,3.400000,4555
2015-02-25,3.500000,3.500000,3.140000,3.200000,3.200000,9765
2015-02-26,3.340000,3.400000,3.340000,3.400000,3.400000,4705
2015-02-27,3.340000,3.400000,3.340000,3.400000,3.400000,2630
2015-03-02,3.400000,3.400000,3.200000,3.220000,3.220000,8935
2015-03-03,3.240000,3.340000,3.220000,3.320000,3.320000,7975
2015-03-04,3.340000,3.380000,3.340000,3.340000,3.340000,1420
2015-03-05,3.340000,3.380000,3.300000,3.320000,3.320000,2215
2015-03-06,3.340000,3.360000,3.220000,3.300000,3.300000,5470
2015-03-09,3.300000,3.360000,3.240000,3.260000,3.260000,8135
2015-03-10,3.240000,3.360000,3.240000,3.360000,3.360000,1000
2015-03-11,3.360000,3.400000,3.240000,3.340000,3.340000,3395
2015-03-12,3.300000,3.360000,3.300000,3.360000,3.360000,480
2015-03-13,3.340000,3.360000,3.300000,3.300000,3.300000,9560
2015-03-16,3.300000,3.460000,3.300000,3.460000,3.460000,12395
2015-03-17,3.460000,3.460000,3.440000,3.440000,3.440000,830
2015-03-18,3.400000,3.400000,3.300000,3.300000,3.300000,2490
2015-03-19,3.380000,3.380000,3.300000,3.300000,3.300000,1535
2015-03-20,3.300000,3.400000,3.300000,3.300000,3.300000,6680
2015-03-23,3.300000,3.400000,3.280000,3.400000,3.400000,8565
2015-03-24,3.380000,3.400000,3.300000,3.300000,3.300000,10555
2015-03-25,3.360000,3.400000,3.240000,3.240000,3.240000,9760
2015-03-26,3.240000,3.300000,3.040000,3.200000,3.200000,15170
2015-03-27,3.200000,3.200000,3.040000,3.200000,3.200000,165
2015-03-30,3.200000,3.300000,3.200000,3.200000,3.200000,17285
2015-03-31,3.300000,3.300000,3.020000,3.200000,3.200000,3800
2015-04-01,3.200000,3.200000,3.040000,3.200000,3.200000,1675
2015-04-02,3.200000,3.200000,3.060000,3.100000,3.100000,2505
2015-04-06,2.000000,3.000000,1.800000,2.800000,2.800000,32290
2015-04-07,2.800000,2.900000,2.620000,2.760000,2.760000,6980
2015-04-08,2.620000,2.720000,2.620000,2.680000,2.680000,36810
2015-04-09,2.980000,2.980000,2.700000,2.980000,2.980000,5300
2015-04-10,2.980000,2.980000,2.700000,2.700000,2.700000,340
2015-04-13,2.860000,2.860000,2.700000,2.700000,2.700000,2030
2015-04-14,2.700000,2.900000,2.700000,2.700000,2.700000,4510
2015-04-15,2.800000,2.800000,2.420000,2.600000,2.600000,11310
2015-04-16,2.680000,2.680000,2.440000,2.600000,2.600000,10695
2015-04-17,2.600000,2.680000,2.400000,2.520000,2.520000,13130
2015-04-20,2.620000,2.620000,2.520000,2.600000,2.600000,4610
2015-04-21,2.520000,2.560000,2.400000,2.560000,2.560000,5010
2015-04-22,2.400000,2.580000,2.020000,2.440000,2.440000,56425
2015-04-23,2.440000,2.440000,2.220000,2.400000,2.400000,2715
2015-04-24,2.400000,2.400000,2.400000,2.400000,2.400000,190
2015-04-27,2.220000,2.320000,2.220000,2.240000,2.240000,1630
2015-04-28,2.300000,2.380000,2.300000,2.380000,2.380000,2205
2015-04-29,2.380000,2.380000,2.360000,2.360000,2.360000,920
2015-04-30,2.220000,2.400000,2.220000,2.240000,2.240000,1975
2015-05-01,2.400000,2.420000,2.240000,2.400000,2.400000,5725
2015-05-04,2.340000,2.340000,2.340000,2.340000,2.340000,2820
2015-05-05,2.340000,2.340000,2.060000,2.320000,2.320000,32815
2015-05-06,2.340000,2.340000,2.160000,2.160000,2.160000,5670
2015-05-07,2.020000,2.300000,2.000000,2.100000,2.100000,24140
2015-05-08,2.100000,2.220000,2.100000,2.200000,2.200000,20270
2015-05-11,2.240000,2.240000,2.240000,2.240000,2.240000,500
2015-05-12,2.280000,2.300000,2.240000,2.240000,2.240000,2210
2015-05-13,2.360000,2.360000,2.240000,2.360000,2.360000,1405
2015-05-14,2.360000,2.360000,2.360000,2.360000,2.360000,1000
2015-05-15,2.400000,2.440000,2.300000,2.360000,2.360000,3370
2015-05-18,2.300000,2.360000,2.300000,2.360000,2.360000,270
2015-05-19,2.360000,2.440000,2.360000,2.360000,2.360000,4615
2015-05-20,2.360000,2.440000,2.360000,2.360000,2.360000,930
2015-05-21,2.360000,2.360000,2.360000,2.360000,2.360000,380
2015-05-22,2.360000,2.380000,2.360000,2.360000,2.360000,110
2015-05-26,2.360000,2.360000,2.360000,2.360000,2.360000,470
2015-05-27,2.300000,2.400000,2.300000,2.400000,2.400000,5030
2015-05-28,2.360000,2.480000,2.320000,2.480000,2.480000,1400
2015-05-29,2.480000,2.500000,2.400000,2.500000,2.500000,3755
2015-06-01,2.400000,2.440000,2.400000,2.440000,2.440000,550
2015-06-02,2.360000,2.360000,2.240000,2.240000,2.240000,1300
2015-06-03,2.320000,2.320000,2.240000,2.240000,2.240000,500
2015-06-04,2.300000,2.400000,2.300000,2.400000,2.400000,790
2015-06-05,2.400000,2.400000,2.400000,2.400000,2.400000,260
2015-06-08,2.400000,2.400000,2.240000,2.300000,2.300000,16255
2015-06-09,2.240000,2.300000,2.000000,2.200000,2.200000,7870
2015-06-10,2.100000,2.200000,2.100000,2.100000,2.100000,1190
2015-06-11,2.200000,2.200000,2.060000,2.100000,2.100000,2480
2015-06-12,2.060000,2.240000,2.060000,2.100000,2.100000,5060
2015-06-15,2.080000,2.140000,2.080000,2.080000,2.080000,8750
2015-06-16,2.060000,2.060000,1.864000,2.020000,2.020000,515
2015-06-17,2.120000,2.120000,2.120000,2.120000,2.120000,75
2015-06-18,2.100000,2.160000,2.100000,2.160000,2.160000,5335
2015-06-19,2.000000,2.200000,2.000000,2.200000,2.200000,5290
2015-06-22,2.200000,2.200000,2.160000,2.160000,2.160000,4255
2015-06-23,2.100000,2.200000,2.080000,2.100000,2.100000,8065
2015-06-24,2.160000,2.240000,2.160000,2.200000,2.200000,2045
2015-06-25,2.200000,2.200000,2.100000,2.100000,2.100000,2175
2015-06-26,2.100000,2.100000,2.000000,2.060000,2.060000,9210
2015-06-29,2.060000,2.200000,1.902000,2.000000,2.000000,1645
2015-06-30,2.140000,2.160000,1.880000,1.900000,1.900000,3750
2015-07-01,1.900000,1.900000,1.900000,1.900000,1.900000,0
2015-07-02,1.840000,2.000000,1.820000,1.820000,1.820000,2140
2015-07-06,1.994000,1.994000,1.820000,1.870000,1.870000,2255
2015-07-07,1.994000,1.994000,1.820000,1.876000,1.876000,1840
2015-07-08,1.846000,1.852000,1.820000,1.830000,1.830000,1400
2015-07-09,1.840000,1.840000,1.840000,1.840000,1.840000,1750
2015-07-10,1.860000,2.000000,1.820000,2.000000,2.000000,5125
2015-07-13,1.842000,1.890000,1.840000,1.890000,1.890000,4540
2015-07-14,2.000000,2.080000,2.000000,2.000000,2.000000,5550
2015-07-15,2.160000,2.160000,2.000000,2.160000,2.160000,5375
2015-07-16,2.000000,2.100000,2.000000,2.100000,2.100000,1595
2015-07-17,2.020000,2.160000,2.000000,2.160000,2.160000,3600
2015-07-20,2.000000,2.160000,2.000000,2.160000,2.160000,3455
2015-07-21,2.000000,2.080000,2.000000,2.000000,2.000000,6500
2015-07-22,2.160000,2.160000,2.000000,2.020000,2.020000,9215
2015-07-23,2.020000,2.080000,2.000000,2.020000,2.020000,3235
2015-07-24,2.020000,2.020000,2.000000,2.000000,2.000000,7425
2015-07-27,2.000000,2.040000,2.000000,2.040000,2.040000,4130
2015-07-28,2.000000,2.040000,1.998000,1.998000,1.998000,10465
2015-07-29,2.000000,2.000000,2.000000,2.000000,2.000000,500
2015-07-30,1.842000,2.300000,1.842000,2.200000,2.200000,18230
2015-07-31,2.100000,2.400000,2.100000,2.140000,2.140000,4825
2015-08-03,2.300000,2.300000,2.100000,2.300000,2.300000,1655
2015-08-04,2.200000,2.200000,2.100000,2.100000,2.100000,640
2015-08-05,2.040000,2.200000,2.040000,2.200000,2.200000,1135
2015-08-06,2.200000,2.200000,1.900000,2.000000,2.000000,6000
2015-08-07,2.000000,2.100000,1.902000,2.100000,2.100000,1365
2015-08-10,1.900000,2.100000,1.900000,2.100000,2.100000,480
2015-08-11,2.100000,2.200000,1.850000,2.200000,2.200000,13905
2015-08-12,2.200000,2.200000,2.100000,2.200000,2.200000,875
2015-08-13,2.000000,2.200000,2.000000,2.000000,2.000000,1800
2015-08-14,2.000000,2.400000,2.000000,2.100000,2.100000,15165
2015-08-17,2.100000,2.400000,2.000000,2.040000,2.040000,29155
2015-08-18,2.000000,2.060000,2.000000,2.020000,2.020000,3450
2015-08-19,2.020000,2.020000,1.880000,1.880000,1.880000,40510
2015-08-20,1.820000,1.848000,1.800000,1.800000,1.800000,5580
2015-08-21,1.800000,1.856000,1.800000,1.800000,1.800000,34995
2015-08-24,1.712000,1.800000,1.440000,1.800000,1.800000,59400
2015-08-25,1.700000,1.800000,1.600000,1.798000,1.798000,4190
2015-08-26,1.600000,1.700000,1.600000,1.700000,1.700000,45
2015-08-27,1.688000,1.800000,1.688000,1.800000,1.800000,4040
2015-08-28,1.740000,1.740000,1.740000,1.740000,1.740000,30
2015-08-31,1.720000,1.798000,1.642000,1.798000,1.798000,4630
2015-09-01,1.600000,1.880000,1.540000,1.880000,1.880000,10900
2015-09-02,1.880000,1.880000,1.700000,1.700000,1.700000,6680
2015-09-03,1.800000,1.800000,1.800000,1.800000,1.800000,250
2015-09-04,1.800000,1.800000,1.700000,1.700000,1.700000,3595
2015-09-08,1.800000,1.800000,1.700000,1.772000,1.772000,1955
2015-09-09,1.750000,1.752000,1.442000,1.700000,1.700000,14000
2015-09-10,1.672000,1.740000,1.604000,1.740000,1.740000,2650
2015-09-11,1.740000,1.740000,1.740000,1.740000,1.740000,0
2015-09-14,1.780000,1.800000,1.662000,1.662000,1.662000,7105
2015-09-15,1.800000,1.800000,1.670000,1.670000,1.670000,5845
2015-09-16,1.800000,1.800000,1.672000,1.672000,1.672000,3190
2015-09-17,1.670000,1.698000,1.670000,1.670000,1.670000,1375
2015-09-18,1.580000,1.670000,1.560000,1.600000,1.600000,10340
2015-09-21,1.800000,1.800000,1.800000,1.800000,1.800000,525
2015-09-22,1.602000,1.700000,1.602000,1.700000,1.700000,3505
2015-09-23,1.700000,1.700000,1.650000,1.700000,1.700000,3500
2015-09-24,1.780000,1.780000,1.640000,1.780000,1.780000,3975
2015-09-25,1.672000,1.800000,1.672000,1.800000,1.800000,2995
2015-09-28,1.672000,1.698000,1.582000,1.698000,1.698000,1675
2015-09-29,1.800000,1.800000,1.580000,1.680000,1.680000,3695
2015-09-30,1.600000,1.740000,1.600000,1.740000,1.740000,780
2015-10-01,1.700000,1.700000,1.700000,1.700000,1.700000,550
2015-10-02,1.700000,2.040000,1.680000,1.900000,1.900000,28110
2015-10-05,1.900000,1.960000,1.800000,1.800000,1.800000,16565
2015-10-06,1.800000,1.900000,1.800000,1.800000,1.800000,10620
2015-10-07,1.780000,1.900000,1.780000,1.900000,1.900000,2030
2015-10-08,1.802000,1.840000,1.622000,1.800000,1.800000,9240
2015-10-09,1.800000,1.800000,1.800000,1.800000,1.800000,0
2015-10-12,1.750000,1.750000,1.750000,1.750000,1.750000,760
2015-10-13,1.754000,1.754000,1.750000,1.750000,1.750000,1015
2015-10-14,1.750000,1.750000,1.750000,1.750000,1.750000,0
2015-10-15,1.750000,1.750000,1.700000,1.700000,1.700000,2325
2015-10-16,1.800000,1.800000,1.700000,1.744000,1.744000,1610
2015-10-19,1.700000,1.710000,1.632000,1.632000,1.632000,1115
2015-10-20,1.642000,1.642000,1.642000,1.642000,1.642000,50
2015-10-21,1.700000,1.800000,1.660000,1.674000,1.674000,4110
2015-10-22,1.720000,1.720000,1.720000,1.720000,1.720000,525
2015-10-23,1.800000,2.000000,1.800000,1.980000,1.980000,25870
2015-10-26,1.960000,2.000000,1.882000,1.900000,1.900000,8790
2015-10-27,1.802000,1.802000,1.800000,1.800000,1.800000,1450
2015-10-28,1.800000,1.904000,1.770000,1.770000,1.770000,2160
2015-10-29,1.840000,2.000000,1.840000,2.000000,2.000000,2210
2015-10-30,1.880000,1.924000,1.800000,1.924000,1.924000,30325
2015-11-02,2.000000,2.080000,1.900000,2.080000,2.080000,2985
2015-11-03,2.000000,2.040000,1.870000,1.900000,1.900000,9585
2015-11-04,1.958000,2.188000,1.902000,2.188000,2.188000,26450
2015-11-05,2.188000,2.188000,1.842000,2.100000,2.100000,880
2015-11-06,1.882000,2.100000,1.882000,2.100000,2.100000,6680
